Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1627,,No,,Not Graduate,Yes,16004,0,95,360.0,0.0,Semiurban,N
1974,Female,Yes,0,Graduate,No,12033,0,177,120.0,0.0,Rural,N
2248,Male,Yes,3+,Graduate,Yes,28947,0,174,120.0,0.0,Rural,Y
1529,Female,No,1,Graduate,Yes,18688,0,227,120.0,0.0,Semiurban,N
1099,Female,Yes,0,Not Graduate,No,37044,2909,142,240.0,0.0,Semiurban,Y
3773,Male,No,0,Graduate,No,16735,1282,180,120.0,0.0,Semiurban,Y
3424,Mle,Yes,3+,Graduate,No,24668,0,152,240.0,1.0,Urban,N
142,Male,Yes,1,Not Graduate,Yes,12144,1749,198,120.0,0.0,Rural,Y
2817,Male,No,0,Not Graduate,Yes,27257,4491,57,360.0,0.0,Semiurban,Y
360,Female,,1,Graduate,No,20982,3456,227,240.0,0.0,Rural,N
2488,Male,No,3+,Graduate,No,25235,2377,152,180.0,,Rural,Y
1822,Male,No,0,Graduate,No,25250,2934,195,360.0,1.0,Semiurban,Y
3758,Male,No,2,Not Graduate,Yes,47062,9862,128,180.0,0.0,Semiurban,Y
2011,Male,Yes,0,Not Graduate,Yes,21975,1781,132,180.0,1.0,Semiurban,Y
3509,Female,No,3+,Graduate,No,32301,2946,74,120.0,0.0,Rural,Y
1560,Female,No,2,Not Graduate,No,17537,0,169,120.0,0.0,Rural,Y
1960,Male,Yes,0,Not Graduate,Yes,10729,0,35,180.0,1.0,Rural,N
1654,Male,No,2,Graduate,No,18385,4152,39,120.0,1.0,Semiurban,Y
2595,Male,Yes,0,Not Graduate,No,13153,1372,196,240.0,1.0,Semiurban,N
2865,Female,No,2,Not Graduate,No,38599,1352,148,120.0,,Rural,Y
2462,Female,,0,Not Graduate,No,25870,0,130,120.0,1.0,Urban,Y
2454,Fmale,No,0,Not Graduate,No,41739,0,110,120.0,1.0,Urban,Y
3817,Male,No,3+,Not Graduate,Yes,15757,0,242,120.0,0.0,Semiurban,N
3673,Female,Yes,3+,Not Graduate,No,16308,0,63,120.0,1.0,Urban,Y
4492,Male,No,0,Not Graduate,Yes,28329,1166,275,360.0,1.0,Semiurban,N
4667,Female,No,2,Not Graduate,No,10722,10340,179,360.0,1.0,Semiurban,Y
2596,Female,Yes,1,Not Graduate,No,28253,0,222,180.0,0.0,Urban,N
3670,Fmale,Yes,0,Grad,Yes,21562,4728,39,360.0,0.0,Metro,Y
3512,Male,Yes,four,Not Graduate,Yes,15239,0,70,360.0,1.0,Rural,N
2356,Male,No,1,Not Graduate,Yes,19519,0,184,360.0,0.0,Rural,N
4399,Male,No,1,Not Graduate,,8186,0,134,360.0,1.0,Urban,Y
1774,Male,Yes,1,Not Graduate,Yes,47411,3739,111,240.0,0.0,Semiurban,Y
4407,Male,Yes,0,Graduate,Yes,22365,2643,166,120.0,0.0,Semiurban,Y
3676,Male,No,1,Not Graduate,Yes,9966,2458,117,360.0,0.0,Semiurban,Y
2160,Female,No,2,Graduate,Yes,30901,0,178,360.0,1.0,Rural,Y
2257,Male,Yes,1,Graduate,No,15916,8198,151,120.0,0.0,Semiurban,Y
2983,Female,Yes,1,Not Graduate,No,39265,0,224,360.0,1.0,Urban,N
900,Male,,1,Not Graduate,No,50259,0,112,180.0,1.0,Semiurban,Y
4256,Male,Yes,3+,Graduate,No,40229,0,133,180.0,1.0,Rural,N
805,Female,No,3+,Graduate,Yes,16742,0,0,240.0,0.0,Rural,Y
3925,Male,Yes,0,Not Graduate,No,28845,0,195,240.0,0.0,Rural,N
1374,Male,No,1,Graduate,No,29967,4489,287,360.0,0.0,Rural,Y
1711,Female,No,3+,Graduate,No,26563,1592,108,360.0,1.0,Rural,Y
4683,Female,Yes,2,Not Graduate,No,10798,0,110,360.0,0.0,Semiurban,N
2398,Fmale,No,2,Not Graduate,Yes,16691,2731,85,180.0,0.0,Rural,N
1834,Female,No,3+,Not Graduate,Yes,20167,2151,148,240.0,0.0,Urban,Y
4375,Male,No,3+,Graduate,Yes,29057,0,174,120.0,1.0,Semiurban,Y
80,Male,No,1,Graduate,Yes,35074,0,145,240.0,1.0,semi-urban,N
2544,Male,Yes,2,Not Graduate,Yes,19300,0,140,120.0,1.0,Semiurban,N
3693,Female,No,1,Not Graduate,Yes,16710,0,202,120.0,0.0,Urban,Y
1823,Male,Yes,2,Not Graduate,No,21876,1493,132,120.0,0.0,Urban,Y
1934,Male,No,1,Graduate,No,17650,2297,217,120.0,1.0,Urban,Y
1243,Male,No,1,Graduate,No,66744,3065,175,180.0,0.0,Urban,N
1297,Male,Yes,2,Not Graduate,Yes,19047,0,246,180.0,0.0,Semiurban,Y
1046,Female,Yes,3+,Grad,Yes,7016,890,96,180.0,1.0,Urban,Y
2473,Male,Yes,3+,Graduate,No,6353,10003,105,240.0,0.0,Urban,Y
4403,Male,No,0,Graduate,Yes,40402,0,86,120.0,0.0,Semiurban,Y
1743,Female,Yes,0,Graduate,No,18696,895,175,240.0,1.0,Semiurban,Y
2540,Female,No,1,Graduate,Yes,22080,0,126,240.0,1.0,,Y
2937,Male,Yes,3+,Not Graduate,No,25357,0,130,180.0,1.0,Semiurban,N
2055,Female,No,3+,Graduate,No,15119,0,122,240.0,0.0,Rural,Y
4022,Female,No,0,Graduate,Yes,22014,0,84,360.0,0.0,Rural,N
3632,Female,Yes,0,Graduate,Yes,17234,1245,150,360.0,0.0,Urban,N
561,Female,Yes,0,Graduate,Yes,14178,6377,132,120.0,0.0,Urban,N
3305,Female,Yes,1,Graduate,No,11403,0,125,360.0,1.0,Semiurban,N
1587,,Yes,2,Graduate,No,24544,6394,187,240.0,1.0,Semiurban,Y
281,Female,No,2,Graduate,No,19272,37830,85,120.0,1.0,Urban,Y
2736,Mle,No,2,Graduate,No,19434,4323,227,180.0,0.0,Semiurban,Y
1075,Male,No,3+,Grad,Yes,13159,0,139,180.0,1.0,Rural,Y
2658,Female,Yes,3+,Graduate,Yes,10625,1805,143,360.0,0.0,Semiurban,N
4841,Male,Yes,3+,Not Graduate,Yes,35808,0,136,120.0,0.0,Urban,Y
2158,Female,Yes,2,Not Graduate,Yes,29016,0,58,180.0,0.0,,N
3331,Male,Yes,2,Not Graduate,Yes,30394,0,154,240.0,0.0,Rural,Y
2852,Female,Yes,1,Not Graduate,No,23085,1570,167,120.0,1.0,Rural,N
3159,Female,No,3+,Graduate,No,23704,0,110,180.0,1.0,Rural,N
286,Male,Yes,four,Graduate,No,23602,0,48,120.0,0.0,Semiurban,Y
4317,Male,N,0,Not Graduate,No,35565,1672,179,240.0,1.0,Urban,Y
4807,Female,No,2,Not Graduate,Yes,19974,6932,65,120.0,1.0,Semiurban,Y
840,Female,No,3+,Graduate,No,24893,0,121,180.0,0.0,Rural,N
3579,Female,No,2,Graduate,Yes,18369,0,46,120.0,0.0,Urban,N
3135,Male,No,0,Grad,Yes,17937,0,62,360.0,1.0,Urban,Y
1509,Female,Yes,1,Not Graduate,No,26596,0,126,240.0,1.0,Rural,N
1525,Female,Yes,0,Graduate,Yes,24725,0,74,240.0,1.0,Semiurban,Y
872,Fmale,No,1,Graduate,No,17271,0,58,180.0,0.0,Rural,Y
1381,Male,No,2,Graduate,Yes,27440,10900,94,360.0,1.0,Semiurban,Y
574,Female,Yes,2,Graduate,No,10939,0,90,360.0,1.0,Semiurban,Y
6,Female,Yes,1,Graduate,Yes,10281,0,184,180.0,0.0,Urban,Y
2184,Female,No,3+,Graduate,No,13267,0,151,120.0,1.0,Semiurban,Y
1454,Female,Yes,2,Not Graduate,Yes,17622,0,180,240.0,1.0,Urban,N
408,Female,Yes,0,Graduate,No,18681,0,154,240.0,1.0,Urban,N
2404,Male,Yes,0,Graduate,No,12882,2524,74,360.0,0.0,Semiurban,N
2143,Male,Yes,2,Not Graduate,Yes,20335,26993,142,120.0,0.0,Urban,N
4478,Male,No,2,Graduate,No,32198,0,99,240.0,0.0,Rural,Y
441,Female,No,2,Graduate,No,25832,2135,108,180.0,0.0,Semiurban,Y
2024,Male,Yes,3+,Graduate,No,16588,0,246,360.0,0.0,,Y
2151,Female,Yes,2,Grad,Self,11945,0,89,240.0,0.0,Urban,Y
824,Female,Yes,2,Graduate,Yes,15640,0,127,360.0,1.0,Semiurban,Y
2280,Male,No,2,Not Graduate,Yes,31260,0,86,180.0,0.0,Urban,N
2718,Male,No,3+,Graduate,No,11899,3200,100,180.0,1.0,Urban,N
3515,Female,Yes,1,Graduate,No,21195,2963,133,180.0,0.0,Urban,Y
2254,Female,No,3+,Not Graduate,No,27142,1708,123,120.0,1.0,Rural,Y
2635,Male,No,0,Not Graduate,Yes,34780,0,141,240.0,2.0,Urban,Y
1380,Female,No,3+,Graduate,No,19860,0,167,360.0,1.0,Rural,Y
3979,Male,No,1,Graduate,No,37487,0,165,120.0,0.0,Semiurban,N
4858,Male,No,3+,Not Graduate,No,24559,2118,150,180.0,-1.0,Urban,N
1421,Male,No,3+,Graduate,Yes,14073,0,143,180.0,1.0,Rural,Y
458,Male,No,3+,Graduate,No,29350,0,162,240.0,0.0,Semiurban,Y
170,Female,Yes,1,Graduate,No,8020,0,214,240.0,0.0,Rural,N
1737,Female,No,3+,Graduate,No,16938,0,122,360.0,1.0,Urban,N
1601,Male,Y,2,Graduate,Yes,24221,10027,174,180.0,0.0,Semiurban,Y
3431,Male,No,0,Graduate,No,20045,0,43,360.0,0.0,Urban,Y
4134,Male,Yes,2,Graduate,No,18024,4347,118,120.0,1.0,Semiurban,Y
2683,Female,Yes,3+,Graduate,No,31414,0,135,180.0,0.0,Semiurban,Y
4485,Female,Yes,3+,Graduate,No,14327,1611,141,120.0,1.0,Urban,Y
2069,Female,Yes,2,Graduate,Yes,26251,0,57,240.0,0.0,Rural,Y
1751,Female,Yes,0,Not Graduate,No,30674,0,102,360.0,0.0,Semiurban,Y
4378,Female,No,1,Grad,Yes,57600,0,131,120.0,0.0,Urban,Y
4003,Male,Yes,1,Graduate,No,30301,0,144,240.0,0.0,Semiurban,Y
2944,Female,No,3+,Not Graduate,No,37268,0,166,360.0,1.0,Rural,Y
1331,Male,Yes,1,Not Graduate,Self,23773,5774,70,120.0,1.0,Semiurban,N
1793,Female,No,1,Graduate,Yes,27618,2802,54,120.0,1.0,Urban,Y
4901,Male,No,2,Graduate,Yes,22481,446,233,180.0,0.0,Rural,N
1127,Male,Yes,,Graduate,Yes,17220,14087,166,240.0,1.0,Urban,Y
3832,Female,No,1,Not Graduate,Yes,23684,5217,216,360.0,1.0,Urban,N
3290,Male,No,3+,Graduate,No,12851,1376,124,120.0,0.0,Urban,N
4438,Female,No,2,Not Graduate,Yes,15123,0,135,120.0,0.0,Urban,Y
326,Female,N,1,Not Graduate,No,18803,7343,166,120.0,0.0,Urban,N
1535,Male,No,2,Not Graduate,Yes,29566,0,157,180.0,1.0,Urban,Y
4324,Male,No,1,Graduate,Yes,18931,6059,126,120.0,0.0,Rural,Y
2947,,No,3+,Graduate,Yes,26806,0,42,240.0,1.0,Rural,N
1749,Female,Yes,1,Graduate,Yes,27716,1671,207,240.0,0.0,Semiurban,N
1124,Female,No,four,Graduate,Yes,4351,2361,192,360.0,1.0,Semiurban,N
1778,Male,Yes,0,Graduate,No,24617,11328,172,360.0,1.0,Semiurban,Y
793,Male,No,0,Graduate,No,13331,12970,154,120.0,1.0,Rural,Y
1418,Female,Yes,1,Graduate,Yes,14796,0,172,240.0,0.0,Rural,N
4097,Female,Yes,0,Not Graduate,Yes,72276,2871,133,120.0,0.0,Urban,Y
695,Female,,0,Graduate,No,18659,0,141,360.0,2.0,Semiurban,Y
3091,Female,No,0,Graduate,Yes,24240,0,99,120.0,1.0,Urban,N
2314,Male,No,2,Not Graduate,No,26430,0,47,180.0,0.0,Semiurban,Y
4489,Female,Yes,3+,Not Graduate,No,19596,0,73,360.0,1.0,Rural,N
1449,Female,Yes,3+,Graduate,No,31493,928,223,120.0,1.0,Semiurban,Y
3813,Male,Yes,0,Not Graduate,No,25699,1788,154,180.0,0.0,Urban,Y
796,Male,Yes,3+,Not Graduate,No,20023,2454,195,120.0,0.0,Urban,N
3698,Female,No,0,Graduate,No,12701,0,-50,240.0,1.0,Semiurban,Y
2344,Male,No,0,Not Graduate,No,34688,2489,215,180.0,1.0,Urban,Y
3100,Female,Yes,0,Not Graduate,No,23667,13043,144,120.0,1.0,Semiurban,Y
4852,Male,No,four,Graduate,Yes,28505,0,219,120.0,0.0,Rural,Y
4569,Male,Y,3+,Graduate,No,29553,0,127,360.0,1.0,Semiurban,N
646,Female,No,1,Graduate,No,12271,4271,128,240.0,0.0,Urban,Y
3943,Female,No,2,Not Graduate,No,38235,0,135,120.0,1.0,Rural,Y
4584,Female,No,2,Graduate,Yes,9050,780,144,240.0,1.0,Rural,N
4763,Female,No,1,Not Graduate,No,12679,10326,151,120.0,1.0,Metro,Y
1916,Fmale,No,2,Graduate,No,16194,0,184,360.0,0.0,Rural,Y
2521,Male,Yes,0,Graduate,No,20659,1256,114,999.0,0.0,Semiurban,Y
1566,Female,Yes,0,Not Graduate,No,28279,837,188,120.0,0.0,Rural,Y
4615,Female,No,2,Grad,No,38530,0,1500,120.0,0.0,Rural,Y
2442,Male,Yes,0,Graduate,Yes,19498,0,110,180.0,1.0,Semiurban,Y
593,Female,,2,Not Graduate,No,18729,2766,196,120.0,1.0,Urban,Y
1425,Female,No,2,Graduate,Yes,19720,0,236,180.0,1.0,Rural,Y
2040,Male,No,2,Graduate,Yes,35054,0,162,120.0,1.0,Semiurban,Y
725,Male,Yes,3+,Graduate,No,22070,0,100,180.0,1.0,Urban,Y
1725,Male,No,1,Not Graduate,Yes,23799,0,145,180.0,0.0,Semiurban,N
997,Mle,No,1,Not Graduate,No,29417,895,153,180.0,-1.0,Semiurban,N
4537,Female,Yes,1,Graduate,No,14048,0,143,240.0,1.0,Rural,Y
1580,Male,No,1,Graduate,No,19480,4380,131,240.0,1.0,semi-urban,Y
3288,Female,No,0,Graduate,Yes,24579,1393,180,180.0,0.0,Urban,Y
3591,Female,No,0,Graduate,No,43263,0,158,360.0,1.0,Rural,N
2182,Male,No,0,Not Graduate,No,20819,2110,192,240.0,0.0,Rural,N
124,Female,No,3+,Not Graduate,Yes,15354,0,275,120.0,0.0,Urban,N
2780,Female,No,3+,Not Graduate,Yes,83250,0,87,180.0,0.0,Urban,Y
1561,Female,Yes,1,Graduate,No,24048,0,176,180.0,0.0,Urban,Y
793,Male,No,0,Graduate,No,13331,12970,154,120.0,1.0,Rural,Y
1940,Female,No,2,Graduate,No,29781,0,178,120.0,0.0,Rural,Y
350,Mle,Yes,1,Graduate,,46318,0,135,240.0,0.0,Rural,N
3903,,No,2,Graduate,No,20541,2218,151,360.0,1.0,Semiurban,Y
567,Male,No,0,Not Graduate,Yes,20893,8550,141,120.0,2.0,Urban,Y
1572,Female,Yes,3+,Graduate,Yes,51857,1605,107,120.0,0.0,Rural,N
3405,Male,Yes,2,Graduate,Yes,19565,0,211,120.0,0.0,Semiurban,Y
2949,Male,Yes,3+,Graduate,No,31467,0,117,180.0,1.0,Rural,Y
704,Female,No,0,Graduate,Yes,30748,0,120,240.0,1.0,Urban,Y
2061,Female,Yes,3+,Graduate,No,16037,7809,122,240.0,1.0,Rural,N
3870,,No,2,Graduate,No,11988,1013,216,180.0,0.0,Rural,Y
4448,Female,No,3+,Not Graduate,Yes,33192,3310,221,360.0,0.0,Semiurban,Y
2341,Male,Yes,1,Not Graduate,No,34596,0,194,240.0,1.0,Urban,Y
1310,Female,Yes,2,Graduate,No,34376,0,186,120.0,1.0,Rural,N
3091,Female,No,0,Graduate,Yes,24240,0,99,120.0,1.0,Urban,N
4868,Female,Yes,2,Graduate,Yes,20205,0,138,240.0,0.0,Urban,N
2291,Male,Yes,0,Not Graduate,No,17752,0,122,180.0,1.0,Semiurban,Y
2074,Female,Yes,0,Not Graduate,No,19928,0,178,180.0,1.0,Urban,Y
3145,Female,No,2,Graduate,Yes,21629,0,142,120.0,1.0,Semiurban,Y
835,Female,Yes,3+,Graduate,No,27967,0,138,,1.0,Rural,N
99,Male,,3+,Not Graduate,Yes,18440,0,133,120.0,1.0,Urban,Y
504,Female,Yes,0,Not Graduate,Yes,12628,6376,182,240.0,0.0,Semiurban,Y
644,Female,No,0,Not Graduate,No,22942,2463,178,360.0,1.0,Urban,Y
4231,Male,No,2,Graduate,Yes,26052,0,167,240.0,0.0,Rural,N
2205,Male,Yes,0,Graduate,Yes,21518,7378,156,360.0,1.0,Urban,Y
502,Mle,No,2,Not Graduate,Yes,16992,0,51,240.0,0.0,Urban,Y
4774,Male,Yes,four,Graduate,No,12601,1544,72,180.0,1.0,Rural,Y
3036,Male,No,0,Graduate,Yes,7005,1515,107,120.0,0.0,semi-urban,Y
4233,Female,Yes,2,Graduate,No,12813,0,175,180.0,0.0,Semiurban,Y
4714,Female,Yes,1,Grad,Yes,25579,1038,111,120.0,1.0,Rural,Y
220,Male,No,1,Not Graduate,Yes,25898,0,0,120.0,1.0,Semiurban,Y
3000,Female,No,1,Not Graduate,No,16013,0,59,360.0,1.0,Semiurban,Y
679,Male,Yes,2,Not Graduate,Yes,12551,7575,201,360.0,0.0,Urban,N
4879,Male,Yes,2,Not Graduate,No,14221,0,70,240.0,1.0,Urban,N
1914,Female,Yes,0,Not Graduate,No,14578,0,199,180.0,1.0,Rural,N
2041,Male,Yes,2,Graduate,Yes,34966,8624,119,120.0,1.0,Rural,N
3170,Male,Yes,3+,Graduate,Yes,31174,0,235,180.0,0.0,Semiurban,Y
4035,Male,No,0,Graduate,Yes,11836,0,93,120.0,1.0,Rural,Y
1922,Female,No,2,Graduate,No,8853,0,174,360.0,0.0,Rural,Y
3504,Male,,1,Graduate,Yes,28302,0,166,240.0,1.0,Urban,Y
2832,Male,Yes,0,Not Graduate,No,10782,3251,142,240.0,0.0,Rural,Y
